BinBase name,GC1,GC2,GC3,GC4,GC13,GC14,GC15,GC16,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24
105164,1278,1017,1925,1891,1007,1416,1421,1251,1265,1203,1042,1186,1334,1343,1370,1146,1629,1717,1119,1030,1855,1732,1375,1316
105122,3898,4291,5321,4724,2398,3836,3718,2960,5794,4805,1663,2350,4127,3867,4028,5346,5732,6229,2224,2181,5320,5154,5008,4302
105086,91,68,110,135,60,100,94,80,799,427,1873,316,186,305,268,297,314,247,157,262,104,198,246,1263
104106,2286,2359,3513,2661,2005,2570,2380,1802,2460,2315,1870,1650,2840,2564,2341,2809,2794,3402,2060,1932,3240,2976,2471,2250
103690,842,728,1265,1284,590,966,979,799,859,737,609,749,809,935,911,846,1066,1053,665,684,1204,1144,890,896
103476,1658,1511,2187,2309,1426,1536,1802,1328,2983,2134,1306,1771,1697,1630,1953,1993,2733,2790,1327,1252,2011,2326,2703,1936
103390,925,130,1093,841,394,934,948,281,772,320,1701,640,1041,676,744,743,985,1090,745,716,1221,504,812,297
103102,668,611,1113,1373,590,841,870,784,737,610,644,735,784,693,734,870,993,875,625,597,1053,957,822,809
102978,310,306,656,597,274,380,433,356,409,373,261,296,373,407,382,393,453,459,325,325,577,320,416,338
102616,745,402,504,681,617,760,395,345,848,419,271,376,410,406,761,428,1111,1060,313,327,621,619,713,739
100768,226,136,385,313,166,127,229,234,236,295,200,262,240,175,256,212,233,293,196,176,343,173,238,247
100248,76,67,129,135,39,61,72,46,1435,1603,463,390,504,464,565,517,526,532,506,461,349,433,583,557
95552,480,343,584,659,377,459,527,404,402,335,389,392,476,494,518,445,575,748,355,311,616,650,482,498
94922,305,246,1372,823,261,457,618,551,816,655,545,627,813,741,939,860,547,559,969,533,1749,1075,633,648
89383,698,686,1338,1003,672,982,946,647,886,973,785,694,1125,974,855,985,1109,1346,842,809,1372,1159,881,873
89211,77,76,316,221,72,72,147,134,692,596,730,1132,1503,119,1003,788,196,279,506,453,1791,2002,1075,801
89204,1998,107,4718,4679,1860,212,90,2936,37309,36018,31041,28756,41822,37239,29482,25647,7241,8441,36111,38407,21359,21821,23572,20795
89201,21062,18125,36462,36501,17174,23869,25012,22168,136052,63653,104808,109710,125888,113463,96627,83306,17609,18682,121256,120622,82585,81798,135414,122495
88847,92,89,157,73,51,74,94,80,719,923,578,347,375,309,366,349,398,389,736,774,317,457,425,405
88583,13626,14398,32911,26422,9239,13947,20583,17455,14289,15299,15239,16867,19897,21469,13730,17526,16434,19157,17644,16443,25011,27139,14866,13512
88502,4229,2875,6252,5272,3263,3823,4662,3511,4234,3715,3080,3244,4874,4592,4157,5080,4641,6938,3771,2884,6609,6290,4486,4199
87877,438,393,740,666,346,488,25,265,491,536,642,580,520,463,471,502,478,603,579,548,664,553,680,330
85106,70,45,66,190,58,92,57,66,266,373,448,379,194,180,269,315,281,366,403,420,316,228,373,368
84181,134,75,107,114,69,118,82,100,4156,5186,2105,1556,1661,1757,969,1431,900,1096,2135,2450,1113,934,1003,994
49400,571,454,910,983,558,717,645,612,666,674,498,535,927,673,661,616,686,958,516,687,1272,827,571,643
48480,146,247,1441,1093,151,230,924,1293,161,195,222,303,394,297,276,185,264,249,198,206,718,540,332,270
48428,829,705,1682,1227,647,1028,968,892,872,925,746,727,1073,877,1203,982,1163,1345,714,628,1604,1340,921,933
47170,403,341,541,599,298,399,336,271,128,416,179,347,479,429,434,411,486,405,301,235,483,485,523,568
46413,415,396,813,720,387,547,535,487,643,737,490,540,725,562,550,551,627,738,452,508,742,706,520,638
46224,1018,802,1157,1179,626,855,843,688,1013,613,953,834,830,791,696,873,2394,926,712,582,1790,1016,789,767
46128,331,289,506,390,329,428,386,385,341,456,333,80,511,363,394,464,500,487,75,358,144,513,387,353
44230,4895,3701,7419,4368,4127,5355,4250,4600,4528,3503,2534,4131,3900,3985,5343,4823,6069,5836,1622,2465,5913,5859,4556,4842
43580,371,193,465,596,345,339,463,355,550,625,292,342,362,359,950,401,765,579,382,327,601,411,721,345
42357,458,220,865,675,366,562,576,291,1436,2124,746,1306,547,935,1676,710,1040,786,908,899,770,871,1342,373
42187,965,663,1356,1373,840,884,911,760,821,815,691,860,896,964,962,1003,717,1355,738,585,1381,1381,970,978
42161,949,725,1578,1308,3263,969,1261,805,4285,1064,3111,3359,1171,1106,4157,1099,4766,1500,901,813,1437,1479,1006,4199
41938,1175,944,1703,1756,1025,1319,1303,1093,1355,1136,969,1118,1243,1232,1334,1287,1457,1568,984,1095,1653,1699,1223,1164
41866,261,210,179,474,54,296,119,271,371,74,68,92,253,52,122,90,110,517,94,227,457,279,79,244
41811,445,561,1147,1070,312,563,601,361,782,641,299,764,665,599,831,640,482,642,422,444,1093,719,520,495
41808,560,485,1640,1521,420,765,811,500,1030,863,412,1012,718,881,1054,929,299,656,577,514,1376,857,672,617
41689,7197,10433,9816,9916,4552,9161,6372,6818,8110,13365,5833,4917,5191,5328,4917,5153,8256,8192,5536,5746,5282,6388,5278,5314
41688,302,297,569,451,341,391,421,358,295,282,241,287,348,333,354,373,381,454,322,262,536,461,434,389
34040,415,927,4085,4213,610,813,2831,2887,397,179,470,804,1029,1191,720,810,905,1023,558,697,2909,2860,1175,1026
33395,96,62,65,115,69,78,64,62,256,536,343,253,256,287,123,184,128,154,344,438,165,106,190,193
33282,580,530,162,381,256,670,251,247,6490,8130,4536,3325,3162,3390,2498,2789,2472,2656,3643,4241,1358,1302,2229,2167
31764,74,54,159,112,41,158,85,33,276,495,236,201,214,54,270,148,131,190,283,219,156,217,181,159
31460,606,517,1246,959,516,796,810,555,659,854,603,720,964,791,858,967,829,1070,737,770,1366,997,697,692
31408,651,628,1431,1396,591,809,1039,727,841,855,644,847,897,871,1047,885,1021,1121,714,706,1485,1060,844,828
31359,789,752,1656,1484,830,1064,1300,896,1111,1130,931,975,1406,1222,1190,1034,1298,1681,853,1079,1651,1443,972,1019
31285,966,795,1797,1558,848,1258,1582,992,1303,1355,917,1086,1476,1251,1217,1466,1579,1891,402,1173,1878,1566,1324,1206
31273,262,259,624,582,286,303,411,355,352,344,277,358,362,339,421,407,503,449,360,374,621,382,408,414
23635,990,765,1671,1348,733,1025,1215,848,1133,939,865,919,1214,1141,1020,1055,1211,1637,945,936,1567,1555,932,1038
22965,252,233,425,434,175,253,357,214,289,270,347,283,311,293,222,240,265,260,292,295,386,426,250,223
21885,709,464,1268,1216,607,728,843,659,687,850,624,616,871,672,866,536,792,852,595,721,1086,1129,731,1053
21763,673,423,1001,877,517,682,856,621,691,799,709,127,770,669,796,785,733,952,111,703,245,1009,816,975
21666,826,678,1219,1227,569,799,736,703,870,917,821,752,924,859,938,864,844,1066,762,807,1082,1139,784,906
21665,1445,1103,2290,1920,1214,1449,1531,1288,2307,2762,1841,1879,2329,2130,1990,2218,2057,2650,1826,2000,2523,2299,1945,2274
18503,447,281,663,687,313,397,381,391,417,311,309,333,385,408,445,402,466,526,302,261,572,561,331,435
18403,45,120,157,151,58,93,133,96,1150,655,545,433,275,479,285,763,247,94,761,429,486,147,344,221
18361,55,45,94,96,56,65,73,99,544,805,381,236,305,290,283,262,403,446,300,363,137,151,258,274
18347,1719,1543,2265,2272,1462,1593,1811,1378,3045,2153,1270,1711,1655,1710,1953,2014,2743,2827,1292,1236,2104,2432,2723,1918
17962,271,304,515,247,212,201,331,187,293,373,185,288,416,300,237,341,419,382,354,341,567,494,454,247
17663,94,71,237,159,76,78,157,123,476,959,1394,1153,636,649,354,333,338,252,1087,1261,770,927,363,456
17651,189,108,307,230,108,116,233,115,130,182,137,76,156,267,115,130,118,222,144,123,210,253,210,222
17250,2206,1918,3134,3295,1653,2273,2504,2128,920,1103,1187,921,616,682,880,871,1102,1044,753,914,965,891,859,908
17068,261,189,476,467,265,320,245,281,371,270,277,320,255,253,414,247,443,283,276,244,364,556,300,251
17044,55,44,104,93,91,136,91,86,311,340,207,201,173,171,134,169,189,156,277,281,129,178,199,157
16879,193,128,237,384,222,109,257,194,298,100,218,234,248,103,280,150,304,322,169,242,259,154,268,264
16757,594,468,862,905,480,704,645,395,630,554,535,577,625,447,639,600,733,703,511,581,876,908,715,611
16561,711,551,1004,1050,600,770,740,655,655,652,534,575,764,673,718,761,853,921,576,541,1045,1014,655,55
16370,305,260,428,474,246,282,277,302,272,236,248,287,331,293,334,290,368,444,257,192,386,375,313,253
14694,107,120,709,776,135,196,523,512,126,190,286,247,326,331,170,138,194,182,244,321,464,627,279,197
10962,147,100,484,504,98,218,375,406,185,125,106,136,149,201,137,148,180,255,121,167,400,453,265,176
8619,1225,1087,2775,2387,1337,1541,2112,809,6104,7621,3638,2873,3110,2929,1720,2410,2437,2071,3139,3195,859,1371,1697,2014
6767,162,108,550,491,133,150,462,326,163,96,292,241,371,365,153,197,241,192,309,326,555,654,244,156
5576,20654,14416,29099,32166,17881,22269,22004,19001,18500,15118,14184,17617,19348,19728,22025,19314,24915,24990,15482,14116,30900,27441,19270,22003
5523,542,413,971,327,182,283,572,254,550,507,160,195,509,444,336,562,195,617,441,468,714,845,626,174
5346,2888,2575,5399,4255,2540,3486,3439,2809,3478,3814,2875,2566,4369,3484,3305,3706,4139,5387,3121,3294,5169,4758,3177,3709
5263,81,50,134,70,51,67,119,81,3120,2768,1586,2038,2301,2069,2692,2510,753,825,1138,1197,2043,1965,2002,1627
4937,262,222,50,519,332,348,451,243,258,509,381,331,390,348,515,316,627,464,387,404,343,674,499,79
4930,23351,19052,35494,37329,18568,22755,25429,22866,26238,23025,19109,23563,25962,24699,25603,24612,30563,29880,20565,19970,35837,32896,25806,24608
4721,84,59,110,114,90,69,70,55,235,477,234,158,147,183,131,143,178,181,214,204,185,106,129,113
4709,72,44,76,114,32,40,102,61,543,714,567,419,411,349,409,421,610,471,555,590,484,497,557,529
4609,99,65,85,84,38,45,89,65,4123,3905,2373,2866,3356,2829,3708,3116,1025,1117,1583,1644,2490,2567,2523,2289
4529,52,45,72,76,55,55,77,56,568,942,558,523,616,604,1261,334,661,294,690,750,335,391,486,306
4526,1859,2394,1796,2008,1363,1892,1099,725,2920,4833,3317,2497,3412,4904,7938,6811,2586,3789,4044,2742,2554,2895,2444,3008
4265,514,434,849,564,333,376,676,340,735,628,357,369,475,561,359,462,451,637,552,522,758,863,607,350
4203,8574,5385,10928,12635,6656,7144,8605,7230,7333,5984,5727,6861,7650,8317,8297,8521,9314,10828,6388,4162,11676,11288,7840,7969
3258,783,959,2401,1788,746,1234,1797,1037,946,1137,1240,1309,1056,1147,1904,1215,1538,1260,1524,1343,1773,1693,1252,1239
3228,700,512,1212,1300,786,969,1032,503,656,540,578,687,843,775,1090,778,1207,970,478,568,1102,946,51,813
3122,53,355,318,347,80,415,77,168,381408,396387,248369,252691,249071,243138,282212,258550,74396,87382,166348,156968,188638,199277,186943,169132
2936,7325,5992,12384,11753,6103,8844,8629,7434,7907,6967,5919,7132,8431,8171,8619,8060,9304,10458,6708,6863,12408,10537,8106,8056
2260,44,270,374,263,161,331,214,193,330,149,439,241,290,232,193,134,424,300,273,235,595,472,118,299
2031,46,45,104,53,70,41,64,72,1889,3097,2254,825,2054,840,1189,433,698,858,2536,2893,937,520,1787,537
1981,124,88,268,211,132,124,187,142,1854,2949,2945,2443,2358,2190,1882,1810,626,660,2715,2971,955,1096,2383,2454
1925,3641,2683,5072,5707,2930,3740,3776,3405,3404,2885,2887,3242,3497,3668,3819,3709,4313,4667,2898,2418,5712,5149,3528,3614
1913,128,2895,1925,11980,2129,3085,3694,1730,4889,4468,3218,2369,4134,1870,889,3609,9854,5232,6853,2290,12524,10978,8180,3175
1912,680,593,1090,1263,256,843,801,903,866,920,770,160,788,764,939,806,917,957,121,638,154,1032,698,863
1909,931,651,1637,1728,868,1247,1246,1088,1113,1080,970,1030,1140,1182,1007,1078,1319,1354,920,837,1442,1505,1172,1059
1878,2610,2439,4996,4381,2318,3064,2978,2485,3595,3549,2546,2892,4070,3181,3452,3433,3790,4237,3022,3045,4632,3976,2817,3239
1875,2318,2137,4484,3527,1987,2583,2679,2107,2752,3286,2189,2355,3236,2768,2618,3047,3260,4135,2438,2627,3990,3913,2474,2827
1872,3128,2719,5850,4499,2916,3939,3777,3083,3644,4241,3064,2999,4662,3859,3516,4012,4641,5708,3451,3438,5633,4993,3434,3912
1869,643,739,1385,1659,648,505,956,1033,81,1226,1104,409,1151,1145,578,771,1250,651,1208,800,1432,1215,893,753
1862,15312,11649,23860,23685,12600,15415,17471,16721,16315,15513,14678,15313,18095,18642,15339,17942,18082,20227,13096,13568,24844,24420,14201,15550
1709,877,898,1578,1410,588,888,956,982,1046,1042,988,918,1133,1095,845,1075,1157,1246,929,877,1316,794,920,885
1704,217,119,181,174,119,219,164,59,111,85,229,208,172,203,108,127,197,115,262,137,69,255,486,145
1700,3283,2740,5035,5233,2585,3692,3596,3261,3563,3187,2750,3288,3650,3604,3474,3356,4134,4547,2842,2772,4797,4443,3474,3477
1675,597,138,215,431,456,1856,259,1144,333,345,717,686,154,233,1182,141,1420,180,127,175,199,346,162,906
1064,2226,2080,5425,4625,2608,2936,4054,1509,4050,3390,2797,4952,2658,4055,4852,3957,6069,4093,3762,3570,3633,4096,4366,1946
490,1131,1499,3297,2654,1384,2550,2072,1265,1021,1098,1125,1347,2206,1141,2565,1571,2201,1348,1617,1726,2001,1845,3061,2141
462,783,562,1215,1190,665,945,900,786,888,264,655,756,867,839,900,826,994,891,688,664,1253,797,792,431
443,10407,13513,25556,18873,6649,7983,16113,15615,13534,17343,14102,14268,19161,15686,10918,17833,12777,17451,12938,13223,20860,23296,11561,9860
257,212,84,426,387,206,237,217,250,153,106,96,119,214,135,218,254,112,202,138,62,343,263,145,190
168,1553,459,353,2040,1599,1328,200,165,3354,456,988,5352,10342,1555,4189,475,344,275,10959,7975,1430,2539,1897,4553
137,709,904,684,1934,860,346,1250,1266,1280,1274,1275,991,1326,1337,842,1192,1554,1464,1093,1158,1763,1712,1114,1101
99,57,46,103,107,46,55,94,74,24789,36960,11821,9620,8163,8882,11316,11677,5651,5670,7844,8709,3816,4318,5462,5151
62,4160,2962,6450,1868,3187,3596,4729,3629,4234,3874,3111,3244,4944,4575,4201,1708,4766,7116,3887,3101,6783,6389,4586,4046
47,5079,4157,8949,7004,4373,6059,6138,4615,5712,5592,4118,4406,6625,5935,5662,6680,6720,8647,4992,5083,9156,7859,5719,5880
39,23492,19389,37241,37604,19207,26592,26335,23538,25184,21382,20351,23233,25275,25586,25881,24119,30006,30562,20696,19453,35302,33714,25526,25177
